고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2020318,CUST001-#A2020318,아연액 TANK,유무기산저장시설,,8.3,0.14,5,,,,,,
CUST001,#A2020319,CUST001-#A2020319,연용해 산화아연 Pulping Tank,혼합시설,,-,0.14,5,,,,,,
CUST001,#A2020320,CUST001-#A2020320,연용해 Zinc-OX Holding #1 Tank,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020321,CUST001-#A2020321,연용해 NT Feeding Tank ,유무기산저장시설,,-,0.34,5,,,,,,
CUST001,#A2020322,CUST001-#A2020322,Zinc ox slurry tank ,유무기산저장시설,,7.4,0.15,5,,,,,,
CUST001,#A2020323,CUST001-#A2020323,연용해 In Pond수 Tank ,유무기산저장시설,,7.7,0.14,5,,,,,,
CUST001,#A2020324,CUST001-#A2020324,In HL cake Repulp Tank,혼합시설,,-,0.15,5,,,,,,
CUST001,#A2020325,CUST001-#A2020325,연용해 In HL Filtrate Tank ,유무기산저장시설,,-,0.25,5,,,,,,
CUST001,#A2020326,CUST001-#A2020326,SPENT TANK,유무기산저장시설,,11.6,0.15,5,,,,,,
CUST001,#A2020327,CUST001-#A2020327,연용해 Pond Cushion Tank ,유무기산저장시설,,13.6,0.14,5,,,,,,
CUST001,#A2020328,CUST001-#A2020328,Fumer HYD Fumer HYD #1 Thickener O/F Tank ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020329,CUST001-#A2020329,Fumer HYD Fumer HYD #2 Thickener O/F Tank ,유무기산저장시설,,-,0.14,5,,,,,,
CUST001,#A2020330,CUST001-#A2020330,BZK Akali Washing 80CH Repulping Tank,혼합시설,,14.9,0.2,5,,,,,,
CUST001,#A2020333,CUST001-#A2020333,CH2 산세 OverflowVessel for Oxide Thickener ,유무기산저장시설,,9,0.14,5,,,,,,
